"Gene name"	"score"	"pval"
"A1CF"	-0.494	0.029
"ACAT1"	-0.472	0.004
"ACAT2"	-0.574	0.047
"ACBD3"	-0.232	0.036
"ADCY4"	-0.835	0.035
"ADCY9"	-0.214	0.039
"ADCYAP1R1"	-0.607	0
"AIRE"	-0.444	0.044
"AK3"	-0.444	0.036
"AKAP3"	-0.391	0.009
"ALDH2"	-0.459	0.034
"ALMS1"	-0.872	0.036
"AMPD3"	-0.824	0.028
"ANAPC4"	-0.517	0
"ANKZF1"	-0.293	0.016
"ANXA5"	-0.326	0.041
"AP1AR"	-0.683	0.029
"AQP9"	-0.2	0.035
"AQR"	-1.16	0.002
"ARCN1"	-0.813	0
"ARHGAP29"	-0.346	0.007
"ARHGAP5"	-0.206	0.05
"ARL1"	-0.771	0.019
"ARMC1"	-0.509	0.025
"ATIC"	-0.196	0.024
"ATL1"	-0.383	0.048
"ATXN10"	-0.73	0.024
"AZI1"	-0.527	0.05
"BAI2"	-0.497	0.004
"BCL2L13"	-0.419	0.04
"BDKRB1"	-0.74	0.019
"BUB1B"	-0.208	0.004
"C10orf113"	-0.217	0.022
"C10orf72"	-0.323	0.013
"C11orf40"	-0.369	0.012
"C11orf64"	-0.404	0.009
"C12orf66"	-0.36	0.021
"C13orf27"	-0.223	0.029
"C14orf148"	-0.478	0.006
"C14orf2"	-0.625	0
"C16orf62"	-0.608	0.016
"C16orf72"	-0.417	0.001
"C16orf87"	-0.721	0.013
"C19orf18"	-0.324	0.022
"C1orf126"	-0.543	0.013
"C1orf141"	-0.41	0.021
"C21orf33"	-0.269	0.03
"C22orf27"	-0.586	0.01
"C22orf29"	-0.467	0
"C2orf81"	-0.366	0.001
"C2orf85"	-0.837	0.013
"C3"	-0.259	0.049
"C3orf24"	-0.877	0.013
"C3orf39"	-0.737	0.016
"C6orf174"	-0.304	0.031
"C8orf37"	-0.135	0.036
"C9orf125"	-0.732	0
"C9orf30"	-0.745	0.018
"C9orf4"	-0.337	0.036
"CA7"	-0.541	0.042
"CACYBP"	-0.379	0.035
"CAMK2G"	-0.405	0.006
"CASC2"	-0.119	0.029
"CBR4"	-0.45	0.049
"CCDC132"	-0.203	0.043
"CCDC57"	-0.375	0.004
"CCDC93"	-0.193	0.003
"CCL19"	-0.135	0.035
"CCNB3"	-0.761	0
"CCNG1"	-0.591	0.036
"CCR6"	-0.5	0.006
"CCRL2"	-0.255	0
"CD163"	-0.6	0.04
"CD52"	-0.4	0.03
"CD70"	-0.404	0.016
"CD83"	-0.505	0.031
"CDC23"	-0.702	0.004
"CDC40"	-1.21	0.009
"CDC42SE2"	-0.278	0.023
"CDC5L"	-0.844	0.012
"CDK1"	-0.869	0.05
"CDK11B"	-0.746	0.001
"CDK17"	-0.448	0.038
"CDK6"	-0.371	0.021
"CDNF"	-0.284	0.043
"CDRT4"	-0.53	0.04
"CEND1"	-0.274	0.001
"CENPO"	-1.32	0.029
"CERKL"	-0.48	0.03
"CHST5"	-0.581	0.014
"CLDN11"	-0.31	0.044
"CLDN6"	-0.71	0.046
"CLIP3"	-0.399	0.041
"CMTM4"	-0.241	0
"COG2"	-0.346	0.028
"COPS4"	-0.4	0.02
"COX5A"	-0.481	0.031
"CPNE1"	-0.217	0.007
"CPT1C"	-0.501	0.035
"CRTAM"	-0.356	0.013
"CSE1L"	-0.752	0.05
"CUL4A"	-0.192	0.024
"CUX2"	-0.305	0.029
"CXCL9"	-0.573	0.029
"CYorf15B"	-0.178	0.001
"DACH2"	-0.284	0.043
"DDIT4"	-0.712	0.042
"DDR1"	-0.913	0
"DDX18"	-0.559	0
"DDX23"	-0.327	0.048
"DDX49"	-0.469	0.006
"DENR"	-0.385	0.016
"DHCR7"	-0.551	0.021
"DHX16"	-0.432	0.026
"DHX38"	-0.345	0.014
"DIS3"	-0.817	0.044
"DLC1"	-0.401	0.047
"DNM2"	-0.455	0.016
"DOCK2"	-0.445	0.042
"DONSON"	-0.62	0.031
"DOPEY1"	-1.08	0.001
"DPP3"	-0.76	0.024
"DSCR8"	-0.545	0.029
"DTYMK"	-0.447	0.01
"DUOXA2"	-0.446	0.006
"DUSP7"	-0.269	0.024
"DYDC2"	-0.215	0.012
"DYRK2"	-0.493	0.007
"ECT2"	-0.724	0.012
"EEF2"	-0.886	0.007
"EEF2K"	-0.436	0.001
"EFTUD2"	-0.44	0.002
"EGLN3"	-0.408	0.021
"EIF4A3"	-0.647	0
"EIF5B"	-1.03	0
"EIF6"	-0.566	0.039
"EMILIN1"	-0.316	0.05
"EMX1"	-0.42	0.042
"EP400NL"	-0.559	0.036
"EPHA6"	-0.217	0.034
"EPHA6"	-0.359	0.034
"ERC1"	-0.171	0.008
"ERH"	-0.522	0.008
"EVX1"	-0.398	0.009
"EXOSC10"	-0.667	0.008
"EXOSC4"	-0.701	0.036
"EXOSC9"	-0.268	0.035
"F2RL3"	-0.493	0.029
"FATE1"	-0.605	0.003
"FBLN5"	-0.0717	0.024
"FETUB"	-0.14	0.036
"FGF13"	-0.378	0.023
"FGF4"	-0.237	0.013
"FGFBP1"	-0.397	0.043
"FHL2"	-0.333	0.013
"FN3KRP"	-0.347	0.014
"FNDC7"	-0.335	0.029
"FTSJ3"	-0.494	0.026
"FXYD7"	-0.198	0.049
"FYTTD1"	-0.305	0.02
"GAL3ST2"	-0.323	0.034
"GALNTL4"	-0.474	0.017
"GAPDHL18"	-0.18	0.029
"GATAD1"	-0.606	0.036
"GDF9"	-0.703	0.002
"GDPD1"	-0.422	0.031
"GFRA2"	-0.649	0.032
"GK5"	-0.505	0.042
"GLIPR1L2"	-0.582	0.014
"GLT25D2"	-0.699	0.035
"GLTSCR1"	-0.0942	0.025
"GLYCTK"	-0.201	0.025
"GMPS"	-0.427	0.033
"GNAS"	-0.345	0.044
"GNL3"	-1.17	0.001
"GOLT1A"	-0.341	0.029
"GPC6"	-0.326	0.037
"GPD2"	-0.45	0.019
"GPR112"	-0.86	0.028
"GPR89B"	-0.191	0.024
